"question_id","question","answers__001","answers__002","answers__003","answers__004","correct","context","eval_score"
"abbb6386-98a1-11eb-b28e-4fc593e2bb35","who is the captain of sabha in england?","Pandya","Rayudu","Rahane","Dhoni","4","Retrieved 19 September 2020. ^ Based on his performance at club cricket, he was picked for the 1997/98 season Vinoo Mankad World Cup Dhoni has captained India in two World Cups.","0.8397016525268555"
"ad3b7c96-98a1-11eb-b28e-4fc593e2bb35","when does mr dhoni retire from cricket?","15 December 2019","15 October 2019","15 august 2020","15 November 2019","3","World Cup Dhoni has captained India in two World Cups. MS Dhoni announced his retirement from international cricket on 15 August 2020. Chasing the target of 255, India crumbled to 185 all out in 43.3 overs.","1.2067352533340454"
"b04fcc16-98a1-11eb-b28e-4fc593e2bb35","who is the captain of sri lanka odi team?","Rahul dravid","Sangakkara","Kohli","Sachin","1","30 December 2014. He took over the ODI captaincy from Rahul Dravid in 2007 and led the team to its first-ever bilateral ODI series wins in Sri Lanka and New Zealand. Retrieved 15 April 2019.","1.071452260017395"
"b04fcc17-98a1-11eb-b28e-4fc593e2bb35","What is the title of the first award given to Johnson and Gambhir?","Scoop top awards","Scoop top Nominated","Scoop top Nominations","Scoop top Emmys","1","Overseas masters"". ""Johnson and Gambhir scoop top awards"". 25 October 2017. ^","1.4600977897644043"
"b392eb2e-98a1-11eb-b28e-4fc593e2bb35","What was the name of the Indian fielder who missed a major catches?","Dhoni","Rahane","Rayudu","Pandya","1","International career Start of ODI career However, Dhoni and the Indian fielders dropped catches and missed many dismissal chances, including a key stumping opportunity of Andrew Flintoff (14). SEVEN (brand)","0.984152615070343"
"b392eb2f-98a1-11eb-b28e-4fc593e2bb35","What was the name of the Indian fielder who missed a major slam?","Dhoni","Pandya","Rayudu","Rahane","1","International career Start of ODI career However, Dhoni and the Indian fielders dropped catches and missed many dismissal chances, including a key stumping opportunity of Andrew Flintoff (14). SEVEN (brand)","0.465506374835968"
"b65ab058-98a1-11eb-b28e-4fc593e2bb35","What is the name of the ODIs in Australia?","Pandya","Dhoni","Rayudu","Rahane","2","25 January 2018 - via <URL>. ^ ""Dhoni named by India for Australia ODIs"". Sonam Wangyal (1965) Kishan Lal (1966)","0.28126397728919983"
"b7d56c84-98a1-11eb-b28e-4fc593e2bb35","What was the first name of Sonam Wangyal's poem?","Bhul","Sajwan","Mehul","Kishan lal","4","""Dhoni named by India for Australia ODIs"". Sonam Wangyal (1965) Kishan Lal (1966) He was also elected as the captain of the Indian squad for the World Twenty20 in September 2007.","2.4265949726104736"
"ba34e86a-98a1-11eb-b28e-4fc593e2bb35","What is the name of the cricket team that Dhoni owns?","F.C","f.c","SAFFC","Chennaiyin fc","4","He was also elected as the captain of the Indian squad for the World Twenty20 in September 2007. Dhoni is also a co-owner, along with Abhishek Bachchan and Vita Dani, of Chennai-based football club Chennaiyin FC, a franchise of the Indian Super League. Retrieved 16 November 2020.","0.27977892756462097"
"bba911ee-98a1-11eb-b28e-4fc593e2bb35","who is the captain of india in world cup?","Kapil dev","Yuvraj Singh","Sehwag","Sachin","1","Retrieved 16 November 2020. Thereon, he led India to the ICC World Twenty 20 trophy in South Africa, with a victory over arch-rivals Pakistan in an intensely fought final on 24 September 2007, and became the second Indian captain to have won a World Cup in any form of cricket, after Kapil Dev. 23 December 2004.","1.6712619066238403"
"bdd51c60-98a1-11eb-b28e-4fc593e2bb35","What was the name of the 'Adhikari' in 1959?","Holkar","Gaikwad","Gaekwad","Bhavsinhji","3","Sachin Tendulkar (<PHONE>) Jyotirmoyee Sikdar (<PHONE>) Umrigar 1958/59: Adhikari 1959: Gaekwad 1959: Roy 1959/60: Rahul Dravid captained the team in this World Cup.","0.38718584179878235"
"bedd747c-98a1-11eb-b28e-4fc593e2bb35","What was the name of the adhikari who died in 1959?","Bhavsinhji","Gaikwad","Gaekwad","Holkar","3","Sachin Tendulkar (<PHONE>) Jyotirmoyee Sikdar (<PHONE>) Umrigar 1958/59: Adhikari 1959: Gaekwad 1959: Roy 1959/60: Rahul Dravid captained the team in this World Cup.","0.8195998072624207"
"c01a12b4-98a1-11eb-b28e-4fc593e2bb35","Pankaj Roy (1975) was the first film to be made in Hindi. What was?","Roshan lal anand","Rubick lal anand","Bounty Runes lal anand","Aghs lal anand","1","He announced his retirement from Tests on 30 December 2014. Pankaj Roy (1975) Roshan Lal Anand (1976) vteIndia Test cricket captains <PHONE>/34: Nayudu 1936: Vizianagaram 1946: Pataudi, Sr.","2.1884663105010986"
"c01a12b5-98a1-11eb-b28e-4fc593e2bb35","What was the name of the song that was played by the band Pankaj Roy in 1975?","Rubick lal anand","Bounty Runes lal anand","Roshan lal anand","Aghs lal anand","3","He announced his retirement from Tests on 30 December 2014. Pankaj Roy (1975) Roshan Lal Anand (1976) vteIndia Test cricket captains <PHONE>/34: Nayudu 1936: Vizianagaram 1946: Pataudi, Sr.","2.871295928955078"
"c168eb90-98a1-11eb-b28e-4fc593e2bb35","What was the name of the 'Pankaj Roy'?","Rubick lal anand","Bounty Runes lal anand","Aghs lal anand","Roshan lal anand","4","He announced his retirement from Tests on 30 December 2014. Pankaj Roy (1975) Roshan Lal Anand (1976) vteIndia Test cricket captains <PHONE>/34: Nayudu 1936: Vizianagaram 1946: Pataudi, Sr.","2.1469099521636963"
"c3b5d688-98a1-11eb-b28e-4fc593e2bb35","who is the first indian to win 100 odi matches?","Pakistan","Sri Lanka","India","Bangladesh","4","He had a relatively mediocre series, having scored 79 runs in two innings at a lowly strike rate of 63.20. With the win against Bangladesh, he became the first non-Australian captain to win 100 ODI matches, and the first Indian captain to achieve the mark. 6 April 2005.","0.6542702317237854"
"c4fa189c-98a1-11eb-b28e-4fc593e2bb35","Which English team won the T20I Cricket Championship in 2015?","England","Wales","Britain","Great Britain","1","Indian Premier League MS Dhoni in Chennai Super Kings colors in 2011. ""India v England 3rd T20I highlights"". Retrieved 21 May 2019. ^","0.9491843581199646"
"c4fa189d-98a1-11eb-b28e-4fc593e2bb35","What is the name of the'sourav Ganguly'?","Pandya","Dhoni","Rahane","Rayudu","2","Retrieved 21 May 2019. ^ Sourav Ganguly (2004) Dhoni made his ODI debut on 23 December 2004 against Bangladesh, and played his first Test a year later against Sri Lanka.","1.106958031654358"
"c632a134-98a1-11eb-b28e-4fc593e2bb35","What is the name of the 2004 film that starred Sourav Ganguly?","Rayudu","Rahane","Pandya","Dhoni","4","Retrieved 21 May 2019. ^ Sourav Ganguly (2004) Dhoni made his ODI debut on 23 December 2004 against Bangladesh, and played his first Test a year later against Sri Lanka.","1.1081892251968384"
"c8952e7e-98a1-11eb-b28e-4fc593e2bb35","Which Indian film star was born Bahadur Singh Sagoo in 1966?","Fauzia","Mirza","Rukhsar","Sania mirza","4","^ ""Scorecard - India v/s Pakistan 1st ODI 2005/06 season"". Sania Mirza (2006) Bahadur Singh Sagoo (2006) Koneru Humpy (2007) 30 December 2014. ^","1.274851679801941"
"cb0c408e-98a1-11eb-b28e-4fc593e2bb35","who scored the most runs in nba sabha?","Rohit Sharma","Yuvraj singh","Kapil Dev","Kohli","2","The Hindu. 29 August 2011. In the second game of the series, he scored 134 off 122 balls, that included a 256-run partnership for the fourth wicket along with Yuvraj Singh. Sushil Kumar (2011) VVS Laxman (2011) Shital Mahajan (2011) Gagan Narang (2011) Krishna Poonia (2011) Harbhajan Singh (mountaineer) (2011) S. M. Arif (2012) Ravi Chaturvedi (2012)","1.217262625694275"
"cbcf2a90-98a1-11eb-b28e-4fc593e2bb35","who is the fourth wicketkeeper in nba sabha?","Kohli","Kapil Dev","Rohit Sharma","Yuvraj singh","4","The Hindu. 29 August 2011. In the second game of the series, he scored 134 off 122 balls, that included a 256-run partnership for the fourth wicket along with Yuvraj Singh. Sushil Kumar (2011) VVS Laxman (2011) Shital Mahajan (2011) Gagan Narang (2011) Krishna Poonia (2011) Harbhajan Singh (mountaineer) (2011) S. M. Arif (2012) Ravi Chaturvedi (2012)","1.5680269002914429"
"cfba7f88-98a1-11eb-b28e-4fc593e2bb35","what is the meaning of dhoni's half century in test cricket?","Quick scoring rate","Quick Hat Tricks rate","Quick More Goals rate","Quick Hat-Trick rate","1","Pitching it right, and some old familiar faces"". Dhoni made his maiden half-century in the second Test and his quick scoring rate (half century came off 51 balls) helped India set a target of 436 and the Sri Lankans were bowled out for 247. ^ ""Live Cricket Scores & News International Cricket Council"".","1.6326013803482056"
"d11116c6-98a1-11eb-b28e-4fc593e2bb35","Gulshan Rai was the real name of which famous Bollywood actor?","Jaman lal sharma","Jaman Clippers sharma","Jaman Pelicans sharma","Jaman Nyk sharma","1","14 July 2018. Gulshan Rai (1990) Jaman Lal Sharma (1990) Rohit 4 Yuvraj 5 Joginder 6 Yusuf 7 Gambhir 8 Uthappa 9 RP Singh 10 Sreesanth 11 Chawla 44 Sehwag 12 Irfan 13 Agarkar 14 Karthik Coach: Rajput vteIndia squad - 2011 Cricket World Cup (2nd Title) 3","1.2440441846847534"
"dbad7e8a-98a1-11eb-b28e-4fc593e2bb35","who was the first wicketkeeper to score 100 runs in odi?","Mitchell Starc","Ashton Turner","Kumar sangakkara","Viv Richards","3","Retrieved 7 February 2019. In August that year, during the fifth and final ODI against Sri Lanka in Colombo, he became the first wicket-keeper to effect 100 stumpings surpassing Kumar Sangakkara, when he stumped Akila Dananjaya off Yuzvendra Chahal. MS Dhoni (2007)","1.1416140794754028"
"dcaa5006-98a1-11eb-b28e-4fc593e2bb35","sam khan made a half century in his debut match against assam?","Rahane","Dhoni","Rayudu","Pandya","2","In 2011, Time magazine included Dhoni in its annual Time 100 list as one of the ""Most Influential People in the World."" He made a half century in his debut match scoring 68* in the second innings against Assam cricket team. In his last Test, he effected nine dismissals (eight catches and a stumping), and in the process, went past Kumar Sangakkara in the record for stumpings with 134 (in all three formats combined).","0.89022296667099"
"dd9df7b0-98a1-11eb-b28e-4fc593e2bb35","What is the name of the Vice-President of India?","Rayudu","Pandya","Dhoni","Rahane","3","In his last Test, he effected nine dismissals (eight catches and a stumping), and in the process, went past Kumar Sangakkara in the record for stumpings with 134 (in all three formats combined). ""India Cements appoints Dhoni as Vice-President"". 1 January 2007.","0.06576821953058243"
"e177161e-98a1-11eb-b28e-4fc593e2bb35","What was the BCCI's contract for Dhoni?","Very Good Condition","Lnib","B-grade","Perfect Condition","3","Breakthrough In December 2005, Dhoni was rewarded a B-grade contract by the BCCI. Retrieved 24 February 2012.","0.5501004457473755"
"eaf72454-98a1-11eb-b28e-4fc593e2bb35","What is the name of the actress who is the mother of Diana Edulji?","Yamini","Nandini","Sunita rani","Galrani","3","In popular culture 13 References 14 External links Early life and background Dhoni was born in Ranchi, Bihar (now in Jharkhand), and he hails from a Hindu Rajput family. Sunita Rani (2001) Diana Edulji (2002) ""Rahul and Karthik in, Pant and Rayudu out of India's World Cup squad"".","1.949340581893921"
"eaf72455-98a1-11eb-b28e-4fc593e2bb35","Diana Edulji was the first female Prime Minister of the Republic of China. She was?","Sunita rani","Yamini","Nandini","Galrani","1","In popular culture 13 References 14 External links Early life and background Dhoni was born in Ranchi, Bihar (now in Jharkhand), and he hails from a Hindu Rajput family. Sunita Rani (2001) Diana Edulji (2002) ""Rahul and Karthik in, Pant and Rayudu out of India's World Cup squad"".","1.1935358047485352"
"eda2cbea-98a1-11eb-b28e-4fc593e2bb35","who did dhoni captain in the first tour of the united states?","India","South Asia","Pakistan","Bangladesh","1","Dnaindia.com. In August 2016, Dhoni was selected as captain for India's first tour to the United States, where India played two T20Is against the West Indies in Lauderhill, Florida. Trophy Under-16 Championship and he performed well.","0.1687958687543869"
"efebeefe-98a1-11eb-b28e-4fc593e2bb35","What was the number of target Dhoni rescued from in the final against Sri Lanka?","275","210","280","260","1","Jitu Rai (2020) Chasing a target of 275 in the final against Sri Lanka, Dhoni rescued his team alongside Gautam Gambhir, and later Yuvraj Singh to help India lift their second World Cup title since 1983. Phu Dorjee (1984)","2.7108376026153564"
"f0f0c432-98a1-11eb-b28e-4fc593e2bb35","What was the name of the team that Dhoni rescued with Gautam Gamb?","Nimai","Jibon","Jitu rai","Bappa","3","Jitu Rai (2020) Chasing a target of 275 in the final against Sri Lanka, Dhoni rescued his team alongside Gautam Gambhir, and later Yuvraj Singh to help India lift their second World Cup title since 1983. Phu Dorjee (1984)","1.4072043895721436"
"f2f8362a-98a1-11eb-b28e-4fc593e2bb35","What did Tendulkar say about Dhoni's handling of pressure?","Incredible","Fantastic","Awesome","Amazing","1","Retrieved 26 November 2020. Tendulkar mentioned that it was Dhoni's calm influence that was rubbing off on all his teammates and described Dhoni's handling of pressure as incredible. Cricbuzz.","0.2161068171262741"
"00c4d772-98a2-11eb-b28e-4fc593e2bb35","when did india lose the first test match in cricket?","27 November 2017","27 December 2017","27 august 2016","27 November 2018","3","Gurbachan Singh Randhawa (2005) India lost the first match on 27 August 2016, during which Dhoni surpassed former Australian captain Ricky Ponting to become the most experienced captain in international cricket. His current total of stumpings in internationals stands at 161.","2.018977642059326"
"0166e76a-98a2-11eb-b28e-4fc593e2bb35","What is the total of stumpings in internationals?","154","161","142","177","2","India lost the first match on 27 August 2016, during which Dhoni surpassed former Australian captain Ricky Ponting to become the most experienced captain in international cricket. His current total of stumpings in internationals stands at 161. Hussey replaces Dhoni as No.1 ODI batsman"".","2.148310422897339"
"043376fc-98a2-11eb-b28e-4fc593e2bb35","What is the name of the greatest captain ever?","Graeme Smith","Tendulkar","Ponting","Pietersen","4","Raghubir Singh (1983) MS Dhoni arguably the greatest captain ever: Pietersen"". ""Sakshi Dhoni 'misses' A Special Place In India; Shares Picture"". <URL>.","0.1840478777885437"
"0cc29e38-98a2-11eb-b28e-4fc593e2bb35","who is the owner of indian super league team?","Chennaiyin fc","f.c","F.C","SAFFC","1","Apart from this century, his performance in the 2000/01 season did not include another score over fifty and in the 2001/02 season, he scored just five fifties in four Ranji matches. He is the co-owner of Indian Super League team Chennaiyin FC. M.S. Dhoni is the greatest cricketer India has produced: N. Srinivasan"".","0.1959563046693802"
"0e2409a6-98a2-11eb-b28e-4fc593e2bb35","What is the name of the charity that gives money to the Dhoni family?","Sakshi Azhar foundation","Sakshi Masood foundation","Sakshi Chief Minister foundation","Sakshi rawat foundation","4","M.S. Dhoni is the greatest cricketer India has produced: N. Srinivasan"". The money goes to Sakshi Rawat Foundation, operated by Dhoni's wife Sakshi Rawat to help orphan children. Premachandran, Sidhanta Patnaik & Dileep (10 January 2015).","3.281137704849243"
"0f3447a2-98a2-11eb-b28e-4fc593e2bb35","What is the name of the 'Sidhanta Patnaik?","Ramchandran","Balachandran","Jayachandran","Premachandran","4","The money goes to Sakshi Rawat Foundation, operated by Dhoni's wife Sakshi Rawat to help orphan children. Premachandran, Sidhanta Patnaik & Dileep (10 January 2015). ""Full Scorecard of Bangladesh vs Australia 2nd ODI 2011 - Score Report | ESPNcricinfo.com"".","1.293144941329956"
"0f3447a3-98a2-11eb-b28e-4fc593e2bb35","What is the name of the media related to Mahendra Singh Dhoni?","Pixabay","Unsplash","Wikimedia commons","Cc0","3","""Dhoni marries girlfriend in a hush hush manner"". External links Wikiquote has quotations related to: MS Dhoni Wikimedia Commons has media related to Mahendra Singh Dhoni. In popular culture A movie was made based on Dhoni's life, from his childhood to the 2011 Cricket World Cup, titled M.S. Dhoni: The Untold Story, with Sushant Singh Rajput in the titular role.","1.9506933689117432"
"10e9b0e6-98a2-11eb-b28e-4fc593e2bb35","who played ms dhoni in the untold story?","Anurag Kashyap","Anil Kapoor","Sushant singh rajput","Ranbir Kapoor","3","External links Wikiquote has quotations related to: MS Dhoni Wikimedia Commons has media related to Mahendra Singh Dhoni. In popular culture A movie was made based on Dhoni's life, from his childhood to the 2011 Cricket World Cup, titled M.S. Dhoni: The Untold Story, with Sushant Singh Rajput in the titular role. After hitting a six in the third Test against England in Southampton, Dhoni completed 50 sixes as a captain, an Indian record.","1.8421590328216553"
"134c76e8-98a2-11eb-b28e-4fc593e2bb35","who did india win the odi cricket world cup in 2015?","New Zealand and pakistan","Queensland and pakistan","Nz and pakistan","Australia and pakistan","4","| India vs England 2012 - News | Although Dhoni didn't have a good show with the bat averaging just 30.0 in seven innings and managing 150 runs, India reached the finals with victories over Australia and Pakistan in quarter-finals and semi-finals, respectively. He was a Travelling Ticket Examiner (TTE) at Kharagpur railway station from 2001 to 2003, under South Eastern Railway in Midnapore (W), a district in West Bengal.","0.44570958614349365"
"173039fc-98a2-11eb-b28e-4fc593e2bb35","What district was the Kharagpur railway station in?","Bihar","Karnataka","West bengal","Maharashtra","3","Although Dhoni didn't have a good show with the bat averaging just 30.0 in seven innings and managing 150 runs, India reached the finals with victories over Australia and Pakistan in quarter-finals and semi-finals, respectively. He was a Travelling Ticket Examiner (TTE) at Kharagpur railway station from 2001 to 2003, under South Eastern Railway in Midnapore (W), a district in West Bengal. Dhoni has the fifth highest batting average (51.09), among cricketers with more than 5,000 runs and the second highest batting average among players with an aggregate of over 10,000 runs.","2.2389540672302246"
"173039fd-98a2-11eb-b28e-4fc593e2bb35","What is the fifth highest batting average among cricketers with more than 10,000 runs?","52.09","51.39","51.09","51.58","3","He was a Travelling Ticket Examiner (TTE) at Kharagpur railway station from 2001 to 2003, under South Eastern Railway in Midnapore (W), a district in West Bengal. Dhoni has the fifth highest batting average (51.09), among cricketers with more than 5,000 runs and the second highest batting average among players with an aggregate of over 10,000 runs. Mukesh Kumar (2003)","2.2618894577026367"
"1aab85f0-98a2-11eb-b28e-4fc593e2bb35","who is the captain of sri lanka t20i team?","Rayudu","Rohit","Rahane","Kohli","3","vteIndia squad - 2013 ICC Champions Trophy (2nd title) 7 Jadeja <PHONE>: Ganguly 2000/01-2007: Dravid 2001/02: Kumble 2003-2011: Sehwag 2007-2016: Dhoni 2010-2014: Raina 2011: Gambhir 2013-present: Kohli 2015: Rahane vteIndia T20I cricket captains 2006: Sehwag 2007-2016: Dhoni 2010-2011: Raina 2015: Rahane 2016-: Kohli 2017-2019: Sharma vteChennai Super Kings - current squad 7 Dhoni (c) 3 Raina 9 Rayudu 13 du Plessis 10 Moeen 31 Gaikwad 8 Jadeja 36 Karn 47 Bravo 74 Santner 77 19 December 2009.","1.0803712606430054"
"22c51116-98a2-11eb-b28e-4fc593e2bb35","What was the name of the government's 'Ashar'?","Shrikanth","Vijaykanth","Srikkanth","Ravikanth","3","Stats.espncricinfo.com. Srikkanth 1989/90-1998/99: Azhar 1996/97-1999/00: Season"".","1.6518220901489258"
"22c51117-98a2-11eb-b28e-4fc593e2bb35","who won the last odi series in india?","West indies","Adil Rashid","Eoin Morgan","Odi","1","Yahoo! India won the away ODI series in England in 2014 by 3-1 and series against West Indies in India by 2-1 margin. Moin-ul-Haq (1970) E. A. S. Prasanna (1970)","0.584610641002655"
"254c5f8e-98a2-11eb-b28e-4fc593e2bb35","What was the name of the woman who wrote the book Moin-ul-Haq?","E. a. s. prasanna","E. Y O s. prasanna","E. I E N D s. prasanna","E. Then B s. prasanna","1","India won the away ODI series in England in 2014 by 3-1 and series against West Indies in India by 2-1 margin. Moin-ul-Haq (1970) E. A. S. Prasanna (1970) Dhoni was discovered by TRDO Prakash Poddar, captain of Bengal in the 1960s, when he saw Dhoni play for Jharkhand at a match in Jamshedpur in 2003, and sent a report to the National Cricket Academy.","0.05990314483642578"
"2bda49e2-98a2-11eb-b28e-4fc593e2bb35","What is the name of the 'Singh Singh Dharmshakti'?","Hate raj singh dharmshaktu","Amazing raj singh dharmshaktu","Awesome raj singh dharmshaktu","Love raj singh dharmshaktu","4","Retrieved 13 August 2016. ^ Love Raj Singh Dharmshaktu (2014) Dipika Pallikal Karthik (2014) H. Boniface Prabhu (2014) From the start of the West Indies ODI series, Dhoni had played 16 matches, hit just two fifties and averaged 25.93.","0.15768662095069885"
